Name,Hash,Type,Files,EXE,Tested,Implemented
,0xbf169f98,Edge,tpp,tpp,tpp,tpp
All,0x54fc2ae8,Edge,tpp,tpp,tpp,tpp
BreakSteelTower,0xfdc6527c,Node,tpp,tpp,tpp,tpp
CarryHoneyBee,0x7419bc4c,Edge,tpp,tpp,tpp,tpp
Caution,0xa17a0f01,Node,tpp,tpp,tpp,tpp
CautionDash,0xf4973b94,Edge,tpp,tpp,tpp,tpp
CautionIdleAct,0xb135dcbd,Node,tpp,tpp,tpp,tpp
CautionRun,0x3fb18f25,Edge,tpp,tpp,tpp,tpp
CautionRunAim,0xb2cfdeb0,Edge,tpp,tpp,tpp,tpp
CautionSquatFire,0x33a37fd3,Node,tpp,tpp,tpp,tpp
CautionSquatIdle,0xafe6aba5,Node,tpp,tpp,tpp,tpp
CautionSquatIdleAim,0x0bdd2e2d,Node,tpp,"tpp,ssd",tpp,tpp
CautionStandFire,0xcd4228a2,Node,tpp,tpp,tpp,tpp
CautionStandIdle,0x5560a8e8,Node,tpp,tpp,tpp,tpp
CautionStandIdleAim,0xb4b35db2,Node,tpp,ssd,tpp,tpp
CautionStandIdleAimCarrying,0xd7324484,Node,tpp,tpp,tpp,tpp
CautionStandIdleReady,0x7caf6f85,Node,tpp,tpp,tpp,tpp
CautionStandIdleSearch,0x921226f1,Node,tpp,tpp,tpp,tpp
CautionStandWalkReady,0xdfc40bef,Edge,tpp,tpp,tpp,tpp
CautionWalk,0x5b396a7b,Edge,tpp,tpp,tpp,tpp
CautionWalkAim,0x842ff186,Edge,tpp,tpp,tpp,tpp
CautionWalkAimFront,0x0af9cff0,Edge,tpp,tpp,tpp,tpp
CautionWalkFire,0x4e92ca60,Edge,tpp,tpp,tpp,tpp
CautionWalkSearch,0xec2bf82a,Edge,tpp,tpp,tpp,tpp
CloseDoor,0x9cb0a020,Node,tpp,tpp,tpp,tpp
ConversationIdle,0x5b9b8312,Node,tpp,tpp,tpp,tpp
CurtainIn,0x365981e1,Node,tpp,tpp,tpp,tpp
CurtainOut,0x1dda7426,Node,tpp,tpp,tpp,tpp
Dash,0x0e99d4af,Edge,tpp,tpp,tpp,tpp
Demo,0x329b1e79,Node,tpp,tpp,tpp,tpp
DisableStealthMode,0xec9db415,Node,tpp,tpp,tpp,tpp
DropPoint,0xb8cccdbd,Node,tpp,tpp,tpp,tpp
Fire,0x56341965,Node,tpp,tpp,tpp,tpp
ForwardChangeSpeed,0xf5f90af2,Edge,tpp,tpp,tpp,tpp
HeliIdle,0x4a6c45e5,Node,tpp,tpp,tpp,tpp
Holdup,0x404cfa27,Node,ssd,ssd,,
Hovering,0xca744dc5,Node,tpp,tpp,tpp,tpp
JumpOnly,0x8a397464,Edge,tpp,tpp,tpp,tpp
JumpRun,0xa414f373,Edge,,tpp,,
